,剧名,时间进度,进度,类型,封面图片
28,妻子的浪漫旅行 第四季 04期看点：谢娜送金瀚黑暗料理,00:41,1%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/22\/zongyi\/338481\/8450041\/20200622190921687.jpg
29,乘风破浪的姐姐 黄龄借歌表白女神钟丽缇,03:51,1%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/22\/zongyi\/338497\/8440883\/20200622112800895.jpg
30,塞上风云记 第1集 吕俊杰戏弄鲁先生,45:25,89%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/06\/11\/20200611103333064.jpg
31,我们的乐队第13期：总决赛王俊凯为排练操碎心 总裁合作舞台超燃引尖叫！,124:18,98%,综艺,https:\/\/3img.hitv.com\/preview\/internettv\/sp_images\/ott\/2020\/2\/16\/zongyi\/336285\/20200216142425280-new.jpg
32,奈何BOSS又如何 良辰美景昵称公开 严总嘴超甜不筐瓢,00:31,19%,电视剧,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/6\/18\/dianshiju\/336024\/8389874\/20200618173538406.jpg
33,奈何BOSS又如何 聂秘重回严总身边 ,01:41,81%,电视剧,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/6\/16\/dianshiju\/336024\/8368661\/20200616115150541.jpg
34,奈何BOSS又如何 良辰美景开车啦！,05:50,71%,电视剧,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/6\/18\/dianshiju\/336024\/8390539\/20200618174214660.jpg
35,婆婆和妈妈 林志颖妈妈向儿子含泪道歉！,02:17,63%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/18\/zongyi\/338575\/8389900\/20200618162648404.jpg
36,乘风破浪的姐姐 主题曲《无价之姐》A爆上线！,03:09,1%,综艺,https:\/\/0img.hitv.com\/preview\/sp_images\/2020\/6\/18\/zongyi\/338497\/8386102\/20200618084948560.jpg
37,乘风破浪的姐姐 02期看点：伊能静现场泪崩？,00:16,69%,综艺,https:\/\/3img.hitv.com\/preview\/sp_images\/2020\/6\/12\/zongyi\/338497\/8339966\/20200612143425923.jpg
38,婆婆和妈妈 陈若仪妯娌比拼被冷落？,02:53,16%,综艺,https:\/\/2img.hitv.com\/preview\/sp_images\/2020\/6\/17\/zongyi\/338575\/8377917\/20200617144835717.jpg
39,快乐大本营 2020 刘敏涛在线解释可盐可甜,00:53,1%,综艺,https:\/\/1img.hitv.com\/preview\/sp_images\/2020\/6\/14\/zongyi\/334727\/8353766\/20200614091257168.jpg
